"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss28_7","-58.02","7.71","7.57","5.85","5.01","4.21","3.43","3.45","0.99","-1.55","-2.26","-2.3","-2.6","-3.26","-3.3","-2.77","-1.81","-0.57","0.34","-0.91","-3.21","-2.56","-2.65","-2.8","-3.18","-5.51"
"length_rss28_8","-53.76","4.94","3.97","1.33","-1.95","-4.48","-3.84","-2.07","-3.24","-3.72","-3.46","-3.65","-0.43","0.94","-0.04","1.21","0.66","0.18","1.01","0.71","1.55","3.38","2.77","2.33","-0.1","0.06"
"length_rss28_9","-57.3","-0.65","-0.48","-1.24","-2.14","-1.12","-0.7","-1.68","-1.77","-2.0","-2.35","-1.89","-0.79","0.2","0.61","-0.75","-2.34","-2.45","-1.87","-1.33","-1.21","-0.11","0.72","5.55","8.04","8.17"
"length_rss28_10","-68.39","-5.42","-4.61","-4.29","-4.73","-4.04","-3.12","-2.8","-3.02","-2.35","-1.96","-2.4","-1.38","0.96","0.89","0.44","1.65","2.54","4.08","3.98","4.6","4.47","3.97","3.89","4.41","3.12"
"length_rss28_11","-69.33","0.38","-0.76","0.32","1.36","1.77","3.84","3.23","2.76","2.61","2.82","0.19","-1.89","-2.11","-2.36","-0.63","0.67","-1.53","-2.61","-1.53","-1.03","-0.36","-1.6","-2.9","-1.98","-1.07"
"length_rss28_12","-67.7","0.44","-0.16","-1.41","-2.19","-1.95","-1.92","-2.63","-2.14","-2.93","-3.8","-4.06","-2.66","-0.81","-0.32","0.62","1.35","3.08","3.62","3.44","3.62","3.54","3.26","1.76","0.01","0.1"
"length_rss28_13","-65.72","1.61","0.73","0.74","1.18","1.8","1.99","0.7","0.71","1.34","2.58","2.54","2.14","1.91","2.15","1.6","0.46","-1.61","-2.97","-4.12","-2.52","-0.56","-1.86","-4.12","-4.35","-4.03"
"length_rss28_14","-70.33","3.94","2.77","2.9","3.02","3.7","1.09","0.18","1.12","2.74","1.85","-0.53","-0.97","0.4","-1.95","-3.98","-4.29","-0.67","0.89","0.02","-2.65","-3.67","-3.47","-2.76","-1.41","-0.73"
"length_rss28_15","-63.03","-7.4","-6.94","-5.9","-3.99","-1.79","-2.14","-3.61","-3.79","-4.83","-2.63","-2.34","-0.8","0.83","2.0","2.0","3.38","3.28","2.58","3.17","2.75","2.99","4.44","5.19","5.53","5.24"
"length_rss28_16","-72.29","-5.36","-5.78","-2.38","0.07","-1.47","-2.23","-1.51","-0.95","0.19","0.94","0.59","1.31","1.0","-0.62","-0.4","-1.11","-1.52","-1.08","0.41","2.45","3.97","3.8","3.3","1.81","1.96"
