"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss38_3","-72.71","1.86","1.52","1.13","1.4","1.33","1.13","-0.16","-1.14","-1.15","-0.93","-3.11","-3.35","0.32","1.38","2.28","0.52","-1.56","0.41","1.28","1.26","0.6","-0.53","-1.35","-1.39","-1.63"
"length_rss38_4","-68.94","0.88","0.61","-0.88","-1.38","-1.28","-1.42","-0.21","1.06","1.93","3.02","1.26","-1.07","-1.89","-1.83","0.25","1.28","-0.54","-2.48","-1.37","-0.04","0.13","-0.25","0.34","0.32","0.18"
"length_rss38_5","-66.35","1.15","2.03","1.85","-1.29","-4.14","-3.41","-1.47","-0.79","-1.19","-1.23","-0.35","-0.97","-0.87","1.33","2.64","-0.86","-1.41","-0.08","-0.49","-0.84","-0.05","1.55","2.73","1.43","1.34"
"length_rss38_6","-72.12","1.39","1.53","2.98","1.46","0.75","0.55","-1.53","-1.8","-0.4","0.61","1.4","0.16","0.49","1.7","1.56","1.72","0.24","0.57","1.82","2.56","2.05","-4.08","-6.0","-4.15","-5.22"
"length_rss38_7","-67.97","0.67","-0.19","1.49","1.01","-0.98","-0.3","2.33","2.85","2.98","4.03","3.3","0.6","-0.22","-0.13","-0.7","-0.64","-1.02","-1.25","-1.29","-1.57","-1.9","-2.2","-2.86","-4.09","-3.41"
"length_rss38_8","-61.29","-0.31","-2.2","-2.71","-2.14","-1.34","0.76","2.21","1.99","2.03","3.08","3.02","1.85","1.15","0.92","-0.3","-0.58","-1.08","-2.25","-2.25","-0.98","-1.12","-0.31","-0.51","-1.95","-1.24"
"length_rss38_9","-65.8","-5.03","-3.18","-4.78","-5.1","-4.4","-3.22","-0.76","-0.5","-1.23","-3.13","-3.8","-2.4","-1.03","0.81","2.36","2.32","2.1","1.76","2.95","3.74","4.45","3.82","4.62","5.03","2.1"
"length_rss38_10","-64.04","-5.4","-5.12","-4.54","-4.29","-3.38","-1.25","-0.59","0.13","0.65","-0.02","-0.24","-0.19","0.42","0.81","1.12","0.88","1.39","1.95","0.55","0.17","1.33","2.9","4.34","3.54","2.68"
"length_rss38_11","-61.32","6.31","6.08","3.66","0.56","-1.81","-2.62","-2.23","-0.96","-0.54","-0.9","-0.99","-0.97","-1.24","-2.27","-3.23","-3.75","-3.91","-3.52","-2.62","-1.87","-0.9","0.61","2.25","4.43","5.66"
"length_rss38_12","-66.45","1.82","1.64","2.7","2.14","1.19","0.28","-0.25","0.36","0.8","1.16","0.66","-0.24","-1.19","-1.23","-1.69","-1.47","-1.44","-1.24","-1.17","-0.82","-1.0","-1.07","-0.98","-0.27","-0.27"
"length_rss38_13","-64.1","2.8","2.05","1.83","1.55","1.85","1.82","2.06","1.09","0.62","1.5","1.5","1.6","1.53","0.84","-0.12","-1.96","-2.8","-2.95","-3.12","-3.2","-2.97","-1.86","-1.31","-1.12","-0.31"
"length_rss38_14","-59.0","3.97","0.46","-0.47","-0.64","-0.85","-1.47","-1.34","-1.03","0.06","-0.58","-2.96","-4.83","-5.77","-6.19","-5.14","-4.37","-3.56","-2.4","-0.93","0.66","2.55","5.6","7.17","9.11","10.73"
"length_rss38_15","-55.29","1.1","2.35","1.76","1.19","2.26","2.92","2.46","-0.39","-0.87","0.65","0.38","-0.8","-2.2","-1.97","-1.8","-2.62","-2.1","-1.56","-0.06","0.47","1.06","1.59","-0.85","-2.14","-1.85"
"length_rss38_16","-49.63","2.79","3.51","3.26","2.95","3.54","2.78","1.54","0.34","-0.64","-0.51","-0.9","-1.45","-0.17","-1.02","-4.45","-4.04","-2.87","-3.08","-1.75","0.69","-0.14","-1.95","-1.47","0.35","0.91"
"length_rss38_17","-51.08","-1.51","-3.04","-4.42","-4.89","-6.83","-9.12","-7.82","-4.7","-3.12","-1.43","-1.08","-0.24","1.46","1.7","2.66","3.37","3.32","4.44","4.75","4.5","4.63","3.62","3.49","5.58","5.19"
"length_rss38_18","-50.11","-2.58","-1.48","-0.32","-0.4","0.62","0.18","-0.43","-1.44","-1.75","-1.26","-1.53","-0.86","-0.4","0.4","-1.51","-2.46","-0.89","0.7","0.83","0.78","0.18","1.53","2.74","3.24","1.92"
"length_rss38_19","-62.47","0.54","-0.86","-1.39","-0.81","-0.58","-2.63","-3.75","-5.17","-5.46","-4.95","-4.31","-3.22","-2.49","-1.3","-0.83","0.33","2.2","2.06","2.13","1.55","2.65","4.97","6.57","7.21","5.21"
"length_rss38_20","-46.04","-3.19","-3.37","0.2","0.72","-2.5","-4.17","-2.26","-0.44","0.02","0.11","-1.71","-2.23","-1.83","-0.81","-0.46","-0.34","-0.13","1.69","1.79","1.41","2.86","3.26","3.0","3.12","3.06"
"length_rss39_1","-73.11","-0.68","0.73","0.87","-0.96","-1.77","-1.11","-2.39","-2.58","-1.57","-0.44","2.05","1.8","1.53","1.26","0.95","0.04","-0.36","0.22","0.56","1.04","1.41","0.6","-0.46","-1.04","-1.85"
"length_rss39_2","-71.45","-0.33","1.69","0.91","1.82","0.63","-0.72","-0.92","-1.41","0.96","1.16","-0.61","-0.43","-1.13","-1.46","-1.51","-0.07","1.45","0.57","0.05","0.87","0.97","1.35","-1.15","-2.18","-0.29"
"length_rss39_3","-72.15","-2.78","-1.03","1.08","1.28","0.48","-0.67","-0.1","-0.42","-1.75","-2.07","-2.06","-2.09","-1.41","-0.36","0.14","1.81","2.24","1.38","2.15","1.88","2.27","0.91","-0.32","-0.4","-0.66"
"length_rss39_4","-72.98","-0.4","-1.44","-1.13","-1.48","-3.58","-4.51","-3.15","-0.2","0.8","0.61","0.87","0.24","-1.86","-1.35","-0.43","-0.19","0.81","1.05","1.39","2.35","1.88","1.79","2.62","2.38","1.2"
"length_rss39_5","-73.13","-0.23","0.11","1.49","1.19","0.45","-0.07","1.34","3.4","2.73","0.68","-0.44","-0.62","-0.29","1.12","-0.37","-0.49","1.02","-3.07","-4.4","-2.66","-1.26","-1.33","-1.03","-0.16","0.0"
"length_rss39_6","-71.93","-0.67","-0.23","0.08","-1.59","-2.85","-1.53","-0.06","-1.33","-3.55","-4.14","-2.95","-0.63","0.13","0.28","-0.46","-0.72","0.4","1.11","1.31","1.89","1.89","1.45","3.23","4.31","4.61"
"length_rss39_7","-74.78","1.0","0.18","-0.24","-0.71","-1.02","-0.91","0.1","0.28","0.89","0.79","-1.0","-2.29","-2.76","-1.34","-0.05","0.84","1.35","1.13","0.51","-1.46","-0.8","1.33","1.41","1.11","1.26"
"length_rss39_8","-74.03","0.66","0.61","0.27","-0.31","-0.36","-0.16","0.18","0.13","0.08","0.04","-0.34","0.09","1.0","0.55","-0.92","-1.22","-1.19","-0.75","-0.82","-0.21","-0.34","-0.49","0.46","1.29","1.05"
"length_rss39_9","-73.68","-0.13","-0.26","0.63","0.22","0.7","0.87","0.45","1.17","0.67","0.87","0.89","0.3","-1.12","-0.39","1.59","1.48","0.73","-0.04","-1.7","-4.28","-3.92","-1.67","0.37","0.61","0.76"
"length_rss39_10","-78.61","-5.14","-4.69","-4.93","-4.3","-3.64","-3.32","-2.54","-1.11","0.21","0.61","0.33","0.05","0.11","-0.07","0.65","0.52","2.23","2.13","1.85","2.82","2.9","2.57","2.67","3.48","2.8"
"length_rss39_11","-77.27","3.48","3.24","0.97","-1.59","-2.56","-3.05","-2.98","-2.19","-0.09","2.09","2.27","1.97","1.61","1.89","-0.18","-2.3","-3.83","-4.14","-3.53","-2.44","-1.44","-0.47","1.59","3.52","4.16"
"length_rss39_12","-82.28","2.4","1.67","1.56","1.13","0.7","-0.41","-1.51","-3.12","-3.82","-3.73","-3.48","-1.99","-0.39","0.69","2.07","1.47","1.5","1.54","0.16","0.02","0.42","0.88","-0.05","0.12","1.92"
"length_rss39_13","-79.91","3.91","3.74","3.69","3.24","2.46","1.68","1.89","1.67","0.95","0.92","1.36","1.17","-0.48","-0.72","-1.55","-2.39","-3.19","-3.23","-3.86","-3.91","-3.06","-0.99","-0.49","-1.48","-2.47"
"length_rss39_14","-81.02","-0.79","-0.59","-3.43","-5.21","-4.14","-0.69","0.7","0.65","0.48","0.07","-0.59","-0.27","1.25","1.22","1.15","-0.52","-0.94","-1.03","-0.73","0.45","1.63","1.44","1.57","2.08","2.5"
"length_rss39_15","-70.45","3.96","3.21","1.93","1.67","1.61","2.89","2.52","2.69","2.49","1.47","1.03","1.09","1.42","1.3","1.46","0.86","0.08","-1.01","-1.62","-3.36","-3.94","-4.87","-5.75","-4.73","-5.27"
"length_rss39_16","-64.43","-0.64","1.31","2.66","2.79","2.31","2.78","2.47","0.75","0.58","0.69","0.74","-0.15","-0.33","-0.16","-0.66","-0.96","-0.35","-1.58","-1.73","-2.54","-3.38","-2.85","-2.59","-1.54","-0.91"
"length_rss39_17","-64.36","-0.69","-0.96","-2.1","-2.86","-2.69","-2.37","-2.04","-2.11","-2.63","-2.82","-1.53","-0.86","0.4","1.34","1.77","3.03","1.66","-0.71","-0.43","0.32","0.88","2.46","2.76","3.2","5.48"
"length_rss39_18","-59.59","2.02","1.52","0.39","0.07","0.74","-0.01","0.31","-0.54","0.45","0.39","-0.18","-0.37","0.53","1.01","1.56","-0.43","-0.89","-1.29","-1.83","-0.69","-1.46","-0.69","-0.23","-0.35","-0.77"
"length_rss39_19","-82.64","-0.26","-0.04","-0.83","-0.55","-1.03","-2.18","-4.51","-5.09","-4.68","-3.73","-2.01","-1.24","-0.67","0.16","0.92","2.21","2.48","1.35","1.23","1.6","2.14","2.85","3.45","2.88","1.61"
"length_rss39_20","-59.23","1.49","2.78","1.42","0.26","1.72","2.18","1.24","0.78","0.33","1.13","0.97","-0.29","-0.48","-0.81","-0.48","0.99","0.53","-0.14","-0.44","-0.44","-1.11","-1.55","-1.49","-3.36","-4.24"
"length_rss40_1","-76.72","1.8","3.82","1.91","-1.92","-3.08","-0.16","3.48","1.41","-1.06","-1.96","-2.23","-4.47","-4.36","-0.93","1.18","1.59","1.24","0.47","-0.96","-0.75","2.17","1.08","0.09","0.72","-0.32"
"length_rss40_2","-78.37","-0.53","-0.46","-0.83","-0.02","-0.21","-0.56","0.03","-1.49","-1.94","-1.73","-3.45","-2.67","0.08","-1.92","-2.32","-0.0","1.26","1.67","0.88","1.53","1.93","2.72","2.96","1.74","1.67"
"length_rss40_3","-81.35","-3.29","-1.35","-1.3","-1.33","0.04","-0.27","0.4","0.08","-0.18","-0.58","0.52","1.66","0.85","0.16","-0.09","0.53","2.35","2.47","1.66","0.61","-1.71","-2.12","-1.22","-0.85","1.12"
"length_rss40_4","-79.92","2.63","1.23","0.45","0.12","1.02","1.76","2.58","2.79","1.03","-1.04","-0.34","1.3","2.04","-0.26","-1.46","-1.52","-1.97","-3.62","-4.23","-3.97","-3.87","-1.41","1.49","1.76","1.35"
"length_rss40_5","-77.49","-0.37","-0.75","0.05","0.35","2.63","3.92","2.94","0.02","-2.71","-1.64","-0.8","1.39","3.0","0.91","-1.23","-0.86","-0.48","0.32","-0.76","-1.93","-0.59","0.57","-1.03","-2.5","-2.26"
"length_rss40_6","-81.39","-1.43","-0.56","-0.8","-1.14","-1.19","-0.47","-0.6","-0.93","-1.0","-0.98","-1.73","-0.61","1.46","1.79","1.15","2.08","2.16","1.67","2.27","2.03","1.0","0.96","-1.2","-2.66","-2.15"
"length_rss40_7","-75.27","2.46","2.0","2.8","3.8","2.43","1.71","2.26","4.58","3.99","4.21","3.2","1.55","1.17","0.49","0.5","-0.48","-1.82","-2.82","-5.25","-5.09","-4.0","-4.81","-5.07","-3.88","-6.28"
"length_rss40_8","-68.5","4.3","4.09","3.04","1.12","-0.08","-1.99","-2.66","-1.89","-1.63","-1.9","-2.24","-2.44","-1.44","0.04","0.82","0.69","0.65","0.93","0.6","-0.22","-1.49","-1.68","-1.27","0.27","1.61"
"length_rss40_9","-71.41","-4.49","-2.26","-0.98","-2.68","-3.77","-3.59","-2.49","-3.76","-5.55","-5.54","-4.51","-5.51","-4.65","-2.55","0.77","2.93","3.27","3.72","4.42","4.51","5.77","6.53","6.14","5.66","6.31"
"length_rss40_10","-67.83","3.65","3.32","2.23","2.21","0.16","-0.63","-0.96","-1.2","-0.83","-0.95","-1.16","-1.42","-1.36","-1.28","-1.06","-0.93","-0.82","-0.58","-0.47","-0.45","-0.03","-0.58","-0.59","-0.34","0.03"
"length_rss40_11","-74.29","-3.46","-2.93","-3.49","-1.51","0.64","-0.11","-0.32","-0.27","0.78","2.06","2.3","1.47","-0.42","-0.2","-0.91","-2.5","-3.19","-3.68","-2.65","-0.94","0.39","1.3","3.08","4.16","4.72"
"length_rss40_12","-78.25","2.73","2.47","2.37","1.71","1.55","1.75","0.06","-1.4","-2.16","-2.94","-2.95","-2.92","-2.67","-2.03","-0.89","0.37","0.97","0.31","0.5","1.02","0.96","0.33","0.32","-0.36","-0.77"
"length_rss40_13","-74.72","3.21","2.32","1.31","0.25","-0.37","-0.16","-0.37","-0.91","-1.05","-0.78","-1.13","-1.09","-1.19","-0.42","0.21","0.43","1.41","3.56","2.73","0.6","-1.8","-1.7","-1.53","-2.32","-3.86"
"length_rss40_14","-79.44","-3.86","-4.6","-5.55","-5.29","-2.89","-1.24","0.02","0.69","1.52","1.06","0.58","0.46","1.34","0.87","0.38","-0.18","-0.15","-0.31","0.97","2.53","3.36","2.95","1.8","1.61","1.2"
"length_rss40_15","-61.28","0.34","-1.77","-2.49","-1.9","-1.19","-0.04","1.0","2.51","3.58","3.06","2.85","1.0","-0.26","0.52","0.09","-0.94","0.02","-0.04","-0.2","-0.33","-0.38","-0.47","-1.66","-1.84","-1.25"
"length_rss40_16","-53.97","7.15","6.92","6.51","6.05","5.9","5.24","2.67","1.9","1.91","0.48","-0.53","-2.82","-4.87","-5.88","-3.11","-1.15","-0.95","-2.09","-3.52","-5.01","-5.7","-5.26","-2.84","-1.55","-1.51"
"length_rss40_17","-55.53","-3.48","-3.5","-4.21","-5.1","-4.51","-2.49","-1.57","-1.37","-1.88","-4.57","-5.61","-4.22","-1.34","1.36","2.12","2.06","2.64","2.94","4.65","5.7","4.11","3.75","2.44","3.28","6.33"
"length_rss40_18","-49.15","0.55","1.02","1.03","1.17","0.77","0.73","0.2","-0.37","-0.32","-0.32","0.54","-0.62","-0.91","-0.79","-1.18","-0.24","-0.37","-1.48","-0.7","0.11","-0.52","-0.5","-0.1","-0.13","1.38"
"length_rss40_19","-76.96","-1.17","-2.35","-2.79","-2.27","-1.89","-2.61","-3.54","-4.32","-4.25","-3.56","-3.39","-2.71","-1.72","-0.49","1.23","3.16","4.14","4.59","3.55","2.88","2.26","2.62","3.43","4.07","3.7"
"length_rss40_20","-56.13","3.7","2.56","2.54","-0.68","-2.38","-1.96","-1.56","-0.69","0.59","0.84","-2.78","-3.61","-0.8","2.44","-1.12","-2.38","-1.48","-2.7","-2.75","-0.29","2.39","3.49","3.53","2.55","0.22"
"length_rss41_1","-76.94","1.35","-0.77","0.35","0.51","0.64","0.47","0.41","-0.86","-0.57","0.68","0.81","-0.26","-1.15","-1.0","-0.36","0.59","0.29","-0.37","-1.63","-2.3","-0.89","1.46","1.58","-0.52","-1.12"
"length_rss41_2","-78.7","1.58","2.82","0.26","-2.77","-2.26","0.54","1.21","0.11","-0.82","0.82","1.21","1.13","0.84","0.27","0.88","0.46","0.42","1.0","0.52","-0.39","-1.3","-2.11","-1.16","-1.2","-2.3"
"length_rss41_3","-80.02","-1.56","-1.2","0.35","1.6","1.37","0.97","0.31","0.21","0.9","0.7","-0.29","-0.61","-0.34","-0.63","-0.42","-0.11","0.6","1.21","1.2","0.74","0.5","-0.7","-1.06","-1.53","-1.41"
"length_rss41_4","-81.02","0.37","0.45","1.12","0.94","0.47","0.07","-0.2","-1.08","-1.62","-1.72","-2.32","-2.63","-1.19","-1.9","-2.02","-0.7","0.07","-0.07","0.71","1.19","1.74","2.3","2.39","1.18","0.63"
"length_rss41_5","-79.43","1.73","2.78","4.18","4.6","1.97","-0.01","0.2","0.75","0.48","-0.32","-1.15","-0.84","-1.1","-0.51","-1.2","-2.22","-0.55","-1.35","-1.42","-1.41","-2.17","-1.5","0.29","-1.37","-1.3"
"length_rss41_6","-81.17","-1.47","-0.38","0.38","-0.49","-0.68","-0.53","-0.8","-1.45","-1.52","-0.56","-0.04","0.72","1.49","1.04","0.13","-1.16","-0.99","0.06","0.67","0.58","0.27","1.4","1.38","1.1","1.35"
"length_rss41_7","-77.38","1.82","1.48","1.02","1.25","1.79","2.02","1.43","1.28","1.75","2.06","1.69","1.23","1.04","-0.35","-1.64","-2.22","-2.91","-3.28","-2.77","-1.52","-1.31","-1.82","-2.28","-1.47","-0.26"
"length_rss41_8","-73.11","3.88","4.45","5.03","4.03","2.97","2.25","2.04","1.51","0.47","0.26","1.89","1.02","-0.27","-0.52","-0.59","-0.77","-1.26","-0.86","-1.66","-2.34","-3.8","-5.07","-5.27","-5.38","-5.83"
"length_rss41_9","-73.32","-1.21","-1.28","-4.06","-5.18","-3.81","-3.06","-3.28","-3.31","-3.31","-3.24","-2.82","-1.92","-0.96","-0.75","-0.67","1.0","2.0","2.44","3.33","4.01","4.71","5.31","5.34","5.22","4.38"
"length_rss41_10","-79.65","-4.61","-3.49","-1.56","-1.04","-0.4","-0.99","-0.4","-0.61","-0.5","-0.26","0.43","0.54","-0.28","-0.46","0.57","0.62","0.02","0.19","0.98","1.15","1.44","1.64","1.5","1.72","2.18"
"length_rss41_11","-81.92","-0.44","-2.84","-4.83","-3.76","-1.42","-1.45","-2.31","-2.12","-1.15","0.29","2.11","2.16","1.16","0.22","-0.13","-0.29","-0.03","0.14","0.71","1.14","1.88","2.66","2.89","2.58","2.85"
"length_rss41_12","-85.45","0.15","0.07","0.7","-0.32","-0.89","-0.65","0.02","0.31","-0.02","0.04","-0.1","-1.4","-2.11","-1.36","-0.93","-0.22","0.88","0.87","1.25","1.67","0.35","0.5","0.29","-0.87","-1.11"
"length_rss41_13","-81.29","1.7","1.33","1.71","1.43","0.95","1.26","1.22","1.27","0.96","0.75","0.16","0.77","0.94","1.22","0.9","-0.28","-1.16","-1.1","-0.64","-0.57","-1.21","-1.08","-1.66","-3.32","-4.17"
"length_rss41_14","-79.47","-2.0","-2.96","-1.8","0.33","-0.79","-1.81","-1.28","0.42","2.62","2.04","0.66","-1.07","-1.88","-2.16","-2.09","-2.18","-2.33","-1.94","-1.4","-0.1","1.72","3.5","3.72","3.61","3.84"
"length_rss41_15","-66.35","0.46","1.74","1.16","0.44","1.74","3.02","2.64","1.75","-0.3","-0.94","-0.77","-1.17","-0.91","-0.6","-0.72","-0.37","1.4","1.5","-0.4","-2.21","-3.26","-2.56","-1.7","-2.38","-3.27"
"length_rss41_16","-62.66","-0.39","0.65","1.51","1.63","1.87","1.18","0.65","0.34","0.49","0.13","-1.08","-0.56","0.56","-1.32","-1.88","-1.64","-0.22","-0.49","-1.59","-1.7","-1.0","-0.14","0.46","1.04","1.69"
"length_rss41_17","-62.46","-0.71","-1.16","-1.21","-0.98","-1.12","-1.74","-2.19","-2.82","-1.72","-1.41","-2.21","-2.18","-1.98","-0.28","0.88","0.93","1.51","1.32","0.75","0.6","1.08","2.01","2.81","3.91","5.24"
"length_rss41_18","-57.44","2.32","2.97","2.74","2.35","3.05","3.03","2.2","1.38","1.42","0.72","-0.04","0.78","0.78","0.98","0.26","1.04","0.82","0.28","-0.73","-2.43","-3.41","-3.55","-5.11","-5.54","-6.81"
"length_rss41_19","-83.28","-1.7","-2.04","-1.68","-2.29","-2.75","-2.96","-2.46","-1.5","-1.33","-0.98","-0.24","-0.09","0.74","0.81","1.15","1.62","1.85","1.42","0.82","0.95","1.69","1.95","1.27","0.43","0.14"
"length_rss41_20","-59.6","1.77","-0.14","0.15","2.53","2.65","1.23","0.4","-0.59","-0.0","-1.07","-4.18","-3.08","-0.55","0.41","0.26","-0.54","-0.72","0.64","0.68","-0.5","-0.4","-0.09","-0.43","-0.37","0.98"
"length_rss42_1","-73.35","0.7","1.95","1.87","0.41","-2.14","-1.9","0.22","-1.02","-2.29","-1.41","0.42","1.67","3.9","4.46","3.55","1.42","1.1","1.05","-1.15","-0.96","-1.36","-3.51","-4.5","-2.98","-0.1"
"length_rss42_2","-76.0","-2.07","-1.75","-2.22","-0.64","-2.12","-1.64","2.13","1.6","-1.21","-1.44","-1.95","-0.99","1.67","1.63","1.74","1.37","0.38","0.78","1.19","0.55","1.26","1.73","-0.35","-1.27","0.46"
"length_rss42_3","-78.05","-0.3","0.15","-0.92","-1.35","-2.04","-3.79","-3.13","-0.36","2.0","0.87","-1.12","-1.63","-1.35","0.64","2.3","1.3","0.58","1.49","1.98","1.84","1.17","0.04","-0.27","-0.67","0.54"
"length_rss42_4","-78.84","-0.98","-0.61","-0.97","-1.1","-0.57","-0.27","-1.29","-1.55","-1.24","-0.1","0.57","1.62","0.08","0.15","0.41","0.02","0.46","1.56","0.94","0.93","0.45","0.33","0.57","-0.21","-1.42"
"length_rss42_5","-76.36","-1.17","0.88","0.29","0.96","1.09","1.38","1.7","1.55","2.57","2.35","1.31","0.99","0.57","-0.7","-0.22","-1.35","-2.16","-1.69","-1.71","-0.28","-0.02","-3.02","-2.68","0.18","-0.94"
"length_rss42_6","-79.67","-0.56","-0.11","-0.89","-0.91","-0.32","0.42","-0.32","-1.1","-0.07","0.52","0.66","0.98","1.84","1.85","1.81","1.14","-1.15","-1.79","-1.01","0.16","1.3","0.2","-1.06","-0.59","-0.88"
"length_rss42_7","-75.17","2.73","3.45","1.65","2.07","2.24","1.05","1.41","2.04","2.27","2.9","2.87","2.8","2.5","1.37","0.02","-0.2","-0.18","-1.94","-2.35","-3.43","-3.72","-3.89","-5.45","-6.02","-5.88"
"length_rss42_8","-67.33","0.47","-0.19","0.76","0.21","-0.09","-0.35","-0.65","0.04","0.37","0.42","1.47","-0.06","-0.55","-1.44","-1.66","-0.85","-1.25","-0.79","-0.02","0.77","0.75","-0.13","0.02","0.38","-0.68"
"length_rss42_9","-71.45","-4.11","-4.07","-4.11","-3.32","-3.24","-4.14","-3.63","-2.7","-2.92","-2.65","-2.93","-2.78","-2.25","-1.45","0.6","2.32","3.28","3.48","4.19","4.9","5.74","6.35","5.1","3.38","2.62"
"length_rss42_10","-72.66","-2.54","-0.81","-0.79","-0.47","0.25","0.92","0.74","0.67","1.25","1.07","0.04","-0.62","-0.56","-1.1","-1.37","-1.7","-1.74","-0.01","-0.07","-0.52","0.57","0.61","1.34","2.46","2.42"
"length_rss42_11","-75.36","1.28","0.35","-0.89","-0.95","1.08","1.4","0.55","-0.98","-1.91","-3.29","-3.93","-3.32","-2.46","-1.7","-0.26","1.3","2.87","2.6","2.2","1.95","1.63","0.6","-0.5","-0.44","0.53"
"length_rss42_12","-78.04","-0.14","-0.97","-1.5","-2.8","-2.87","-2.8","-2.9","-2.39","-0.55","1.96","1.92","2.35","2.23","1.62","1.15","1.72","0.97","1.19","0.95","0.51","0.55","-0.38","-0.95","-1.55","-1.18"
"length_rss42_13","-75.02","1.4","1.11","1.66","1.82","2.55","1.93","1.43","1.08","0.73","0.61","0.34","0.51","0.51","0.15","-0.11","-0.61","-1.32","-1.7","-2.74","-2.61","-1.76","-0.79","-1.44","-2.78","-1.82"
"length_rss42_14","-77.85","-0.13","-1.48","-1.86","-1.03","-0.95","-2.84","-3.09","-2.61","-1.84","0.04","0.66","-0.44","-0.76","-0.33","0.01","-0.54","-0.23","1.09","1.83","1.51","1.7","1.62","2.3","2.02","2.8"
"length_rss42_15","-62.09","2.13","1.94","2.74","2.49","2.7","2.83","2.92","3.23","1.75","0.67","0.3","0.72","0.13","0.63","2.23","2.43","-0.17","-2.11","-4.57","-6.02","-5.9","-5.36","-4.44","-2.83","-1.12"
"length_rss42_16","-55.26","4.26","4.86","5.3","5.01","4.88","4.99","5.8","4.72","5.19","3.98","1.58","-1.24","-2.38","-3.5","-4.1","-4.85","-4.67","-4.31","-3.35","-2.28","-2.02","-3.04","-4.77","-5.42","-6.43"
"length_rss42_17","-57.6","-6.3","-6.45","-5.14","-4.38","-3.99","-3.29","-2.83","-2.17","-1.17","-0.14","-0.76","-0.31","0.55","1.92","2.09","2.2","3.03","3.36","2.76","2.89","3.94","3.31","2.53","3.12","4.07"
"length_rss42_18","-45.84","0.54","-0.14","-0.43","-0.54","-0.49","-1.13","-1.41","-1.06","-1.44","-0.6","-0.09","-0.41","-0.28","-0.15","-0.18","-0.51","-0.15","1.13","0.58","0.63","0.08","0.34","0.44","-0.19","-0.09"
"length_rss42_19","-83.06","-1.22","-1.73","-2.26","-1.55","-2.18","-2.83","-3.27","-3.87","-3.57","-2.38","-2.22","-0.86","1.5","1.93","2.5","2.83","2.94","2.5","1.89","0.9","0.95","0.95","1.52","2.44","2.11"
"length_rss42_20","-58.66","0.96","0.79","0.01","0.63","0.2","-3.15","-3.14","-0.9","0.23","-0.13","0.39","0.99","-1.81","-3.88","-4.61","-3.14","0.05","1.85","1.12","0.99","0.77","0.87","1.71","3.37","3.94"
